_dewptm,_fog,_hail,_hum,_precipm,_pressurem,_rain,_snow,_tempm,_thunder,_tornado,_wdird
9,0,0,27,,1010,0,0,30,0,0,280
10,0,0,32,,-9999,0,0,28,0,0,0
11,0,0,44,,-9999,0,0,24,0,0,0
10,0,0,41,,1010,0,0,24,0,0,0
11,0,0,47,,1011,0,0,23,0,0,0
12,0,0,56,,1011,0,0,21,0,0,0
13,0,0,60,,1010,0,0,21,0,0,0
13,0,0,60,,-9999,0,0,21,0,0,0
13,0,0,68,,-9999,0,0,19,0,0,0
13,0,0,68,,1010,0,0,19,0,0,0
13,0,0,68,,1009,0,0,19,0,0,0
12,0,0,64,,1009,0,0,19,0,0,0
11,0,0,60,,1010,0,0,19,0,0,0
11,0,0,60,,1010,0,0,19,0,0,0
10,0,0,52,,1011,0,0,20,0,0,200
10,0,0,46,,1012,0,0,22,0,0,240
10,0,0,44,,1012,0,0,23,0,0,250
11,0,0,39,,1012,0,0,26,0,0,240
10,0,0,32,,1011,0,0,28,0,0,260
10,0,0,29,,1010,0,0,30,0,0,250
8,0,0,24,,1009,0,0,31,0,0,280
7,0,0,22,,1009,0,0,31,0,0,270
7,0,0,22,,1009,0,0,31,0,0,280
8,0,0,25,,1009,0,0,30,0,0,270
10,0,0,34,,1009,0,0,27,0,0,20
11,0,0,41,,1009,0,0,25,0,0,0
12,0,0,53,,1010,0,0,22,0,0,0
12,0,0,56,,1010,0,0,21,0,0,0
12,0,0,64,,1010,0,0,19,0,0,0
12,0,0,60,,1010,0,0,20,0,0,0
12,0,0,64,,1009,0,0,19,0,0,0
11,0,0,60,,1009,0,0,19,0,0,0
11,0,0,68,,1009,0,0,17,0,0,0
11,0,0,68,,1009,0,0,17,0,0,0
12,0,0,72,,1009,0,0,17,0,0,0
12,0,0,72,,1009,0,0,17,0,0,0
11,0,0,68,,1010,0,0,17,0,0,0
11,0,0,72,,1011,0,0,16,0,0,0
10,0,0,63,,1011,0,0,17,0,0,220
12,0,0,64,,1012,0,0,19,0,0,240
12,0,0,53,,1012,0,0,22,0,0,230
14,0,0,60,,1012,0,0,22,0,0,250
13,0,0,44,,1011,0,0,26,0,0,280
9,0,0,30,,1010,0,0,28,0,0,270
11,0,0,35,,1010,0,0,28,0,0,250
11,0,0,33,,1009,0,0,29,0,0,270
11,0,0,33,,1009,0,0,29,0,0,270
12,0,0,39,,1009,0,0,27,0,0,280
12,0,0,42,,1010,0,0,26,0,0,0
14,0,0,60,,1010,0,0,22,0,0,0
13,0,0,57,,1011,0,0,22,0,0,0
13,0,0,60,,1011,0,0,21,0,0,0
12,0,0,56,,1011,0,0,21,0,0,0
13,0,0,64,,1011,0,0,20,0,0,0
12,0,0,60,,1011,0,0,20,0,0,0
12,0,0,64,,1011,0,0,19,0,0,0
13,0,0,68,,1010,0,0,19,0,0,0
12,0,0,64,,1010,0,0,19,0,0,0
13,0,0,77,,1010,0,0,17,0,0,0
13,0,0,77,,1010,0,0,17,0,0,0
12,0,0,68,,1011,0,0,18,0,0,0
11,0,0,77,,1012,0,0,15,0,0,220
11,0,0,68,,1013,0,0,17,0,0,0
12,0,0,60,,1014,0,0,20,0,0,0
12,0,0,42,,1013,0,0,26,0,0,210
12,0,0,37,,1013,0,0,28,0,0,0
10,0,0,32,,1012,0,0,28,0,0,280
8,0,0,27,,1011,0,0,29,0,0,290
9,0,0,29,,1010,0,0,29,0,0,0
7,0,0,25,,1010,0,0,29,0,0,0
10,0,0,34,,1010,0,0,27,0,0,0
10,0,0,39,,1010,0,0,25,0,0,0
10,0,0,44,,1011,0,0,23,0,0,0
9,0,0,46,,1011,0,0,21,0,0,0
9,0,0,46,,1011,0,0,21,0,0,0
10,0,0,59,,1011,0,0,18,0,0,0
11,0,0,64,,1011,0,0,18,0,0,0
11,0,0,68,,1010,0,0,17,0,0,0
9,0,0,38,,1013,0,0,24,0,0,230
9,0,0,34,,1013,0,0,26,0,0,260
8,0,0,27,,1012,0,0,29,0,0,240
7,0,0,23,,1011,0,0,30,0,0,290
8,0,0,25,,1010,0,0,30,0,0,20
9,0,0,30,,1012,0,0,28,0,0,20
7,0,0,25,,1011,0,0,29,0,0,300
8,0,0,27,,1011,0,0,29,0,0,290
5,0,0,22,,1010,0,0,29,0,0,310
7,0,0,26,,1010,0,0,28,0,0,310
7,0,0,32,,1011,0,0,25,0,0,0
8,0,0,36,,1012,0,0,24,0,0,280
10,0,0,52,,1012,0,0,20,0,0,0
10,0,0,56,,1013,0,0,19,0,0,0
10,0,0,56,,1013,0,0,19,0,0,0
10,0,0,56,,1013,0,0,19,0,0,0
10,0,0,59,,1013,0,0,18,0,0,0
11,0,0,68,,1012,0,0,17,0,0,0
11,0,0,72,,1012,0,0,16,0,0,0
11,0,0,72,,1012,0,0,16,0,0,0
11,0,0,77,,1012,0,0,15,0,0,0
11,0,0,77,,1012,0,0,15,0,0,0
11,0,0,68,,1013,0,0,17,0,0,230
10,0,0,59,,1014,0,0,18,0,0,0
12,0,0,64,,1015,0,0,19,0,0,270
13,0,0,53,,1015,0,0,23,0,0,260
13,0,0,47,,1015,0,0,25,0,0,280
11,0,0,37,,1014,0,0,27,0,0,290
11,0,0,33,,1013,0,0,29,0,0,290
8,0,0,27,,1012,0,0,29,0,0,300
8,0,0,25,,1012,0,0,30,0,0,300
7,0,0,23,,1012,0,0,30,0,0,310
7,0,0,25,,1012,0,0,29,0,0,300
9,0,0,36,,1013,0,0,25,0,0,0
9,0,0,38,,1013,0,0,24,0,0,0
10,0,0,46,,1014,0,0,22,0,0,0
9,0,0,49,,1014,0,0,20,0,0,0
9,0,0,52,,1014,0,0,19,0,0,0
9,0,0,52,,1014,0,0,19,0,0,0
8,0,0,49,,1014,0,0,19,0,0,0
8,0,0,52,,1014,0,0,18,0,0,0
9,0,0,59,,1014,0,0,17,0,0,0
9,0,0,59,,1013,0,0,17,0,0,0
8,0,0,59,,1013,0,0,16,0,0,0
8,0,0,63,,1013,0,0,15,0,0,0
7,0,0,59,,1014,0,0,15,0,0,220
,0,0,N/A,,1014,0,0,,0,0,0
8,0,0,59,,1015,0,0,16,0,0,240
7,0,0,49,,1016,0,0,18,0,0,240
9,0,0,46,,1016,0,0,21,0,0,240
9,0,0,38,,1016,0,0,24,0,0,280
9,0,0,32,,1016,0,0,27,0,0,270
5,0,0,23,,1015,0,0,28,0,0,300
6,0,0,23,,1014,0,0,29,0,0,0
6,0,0,23,,1014,0,0,29,0,0,0
6,0,0,25,,1014,0,0,28,0,0,300
6,0,0,26,,1014,0,0,27,0,0,0
9,0,0,41,,1014,0,0,23,0,0,0
9,0,0,46,,1015,0,0,21,0,0,0
10,0,0,49,,1015,0,0,21,0,0,0
9,0,0,49,,1015,0,0,20,0,0,0
9,0,0,49,,1015,0,0,20,0,0,0
10,0,0,56,,1015,0,0,19,0,0,0
9,0,0,52,,1015,0,0,19,0,0,0
10,0,0,59,,1015,0,0,18,0,0,0
9,0,0,59,,1014,0,0,17,0,0,0
9,0,0,59,,1014,0,0,17,0,0,0
8,0,0,59,,1014,0,0,16,0,0,0
8,0,0,59,,1014,0,0,16,0,0,0
7,0,0,55,,1014,0,0,16,0,0,0
7,0,0,59,,1014,0,0,15,0,0,210
6,0,0,52,,1015,0,0,16,0,0,230
7,0,0,49,,1016,0,0,18,0,0,240
9,0,0,46,,1016,0,0,21,0,0,270
9,0,0,38,,1016,0,0,24,0,0,240
7,0,0,28,,1014,0,0,27,0,0,270
8,0,0,28,,1013,0,0,28,0,0,270
7,0,0,26,,1013,0,0,28,0,0,290
8,0,0,30,,1012,0,0,27,0,0,280
7,0,0,32,,1013,0,0,25,0,0,280
8,0,0,43,,1013,0,0,21,0,0,0
8,0,0,46,,1014,0,0,20,0,0,0
9,0,0,52,,1014,0,0,19,0,0,0
9,0,0,52,,1014,0,0,19,0,0,0
9,0,0,56,,1014,0,0,18,0,0,0
8,0,0,55,,1014,0,0,17,0,0,0
8,0,0,55,,1014,0,0,17,0,0,0
8,0,0,55,,1013,0,0,17,0,0,0
8,0,0,63,,1013,0,0,15,0,0,0
7,0,0,59,,1013,0,0,15,0,0,0
7,0,0,59,,1013,0,0,15,0,0,0
7,0,0,63,,1013,0,0,14,0,0,0
7,0,0,63,,1013,0,0,14,0,0,0
7,0,0,59,,1014,0,0,15,0,0,230
7,0,0,49,,1014,0,0,18,0,0,260
8,0,0,41,,1015,0,0,22,0,0,220
8,0,0,36,,1014,0,0,24,0,0,250
7,0,0,30,,1013,0,0,26,0,0,240
6,0,0,25,,1012,0,0,28,0,0,270
5,0,0,22,,1012,0,0,29,0,0,270
4,0,0,20,,1011,0,0,29,0,0,270
4,0,0,20,,1011,0,0,29,0,0,280
5,0,0,24,,1011,0,0,27,0,0,290
6,0,0,33,,1011,0,0,23,0,0,0
7,0,0,40,,1011,0,0,21,0,0,0
9,0,0,56,,1012,0,0,18,0,0,0
8,0,0,49,,-9999,0,0,19,0,0,0
7,0,0,49,,1012,0,0,18,0,0,0
6,0,0,48,,1011,0,0,17,0,0,0
7,0,0,55,,1011,0,0,16,0,0,0
7,0,0,59,,1011,0,0,15,0,0,0
8,0,0,67,,1011,0,0,14,0,0,0
7,0,0,63,,1011,0,0,14,0,0,0
7,0,0,63,,1012,0,0,14,0,0,0
7,0,0,59,,1012,0,0,15,0,0,0
7,0,0,49,,1013,0,0,18,0,0,0
5,0,0,40,,1014,0,0,19,0,0,0
7,0,0,34,,1014,0,0,24,0,0,0
7,0,0,28,,1014,0,0,27,0,0,150
4,0,0,21,,1014,0,0,28,0,0,230
4,0,0,20,,1012,0,0,29,0,0,250
2,0,0,17,,1011,0,0,30,0,0,270
1,0,0,17,,1011,0,0,28,0,0,290
2,0,0,18,,1011,0,0,29,0,0,290
5,0,0,23,,1011,0,0,28,0,0,0
7,0,0,34,,1011,0,0,24,0,0,0
7,0,0,36,,1012,0,0,23,0,0,0
7,0,0,38,,1012,0,0,22,0,0,0
7,0,0,43,,1013,0,0,20,0,0,90
6,0,0,40,,1013,0,0,20,0,0,90
5,0,0,37,,1013,0,0,20,0,0,100
6,0,0,43,,1013,0,0,19,0,0,0
5,0,0,37,,1013,0,0,20,0,0,0
7,0,0,49,,1013,0,0,18,0,0,0
9,0,0,59,,1013,0,0,17,0,0,70
9,0,0,63,,1012,0,0,16,0,0,70
9,0,0,63,,1013,0,0,16,0,0,80
7,0,0,55,,1013,0,0,16,0,0,100
6,0,0,38,,1014,0,0,21,0,0,110
6,0,0,31,,1015,0,0,24,0,0,100
6,0,0,28,,1015,0,0,26,0,0,0
5,0,0,23,,1014,0,0,28,0,0,140
5,0,0,20,,1014,0,0,30,0,0,140
4,0,0,19,,1013,0,0,30,0,0,0
4,0,0,18,,1012,0,0,31,0,0,210
5,0,0,19,,1010,0,0,31,0,0,0
5,0,0,20,,1011,0,0,30,0,0,120
6,0,0,25,,1010,0,0,28,0,0,90
8,0,0,34,,1011,0,0,25,0,0,0
8,0,0,36,,-9999,0,0,24,0,0,0
8,0,0,38,,1011,0,0,23,0,0,0
7,0,0,38,,1011,0,0,22,0,0,80
8,0,0,41,,1012,0,0,22,0,0,100
10,0,0,49,,1012,0,0,21,0,0,60
10,0,0,49,,1012,0,0,21,0,0,80
10,0,0,56,,1012,0,0,19,0,0,0
10,0,0,52,,1011,0,0,20,0,0,70
10,0,0,52,,1011,0,0,20,0,0,70
12,0,0,68,,1011,0,0,18,0,0,0
12,0,0,72,,1011,0,0,17,0,0,0
11,0,0,68,,-9999,0,0,17,0,0,0
11,0,0,60,,1011,0,0,19,0,0,130
,0,0,N/A,,1012,0,0,,0,0,280
12,0,0,56,,1013,0,0,21,0,0,0
12,0,0,44,,1013,0,0,25,0,0,0
11,0,0,41,,1013,0,0,25,0,0,260
11,0,0,39,,1013,0,0,26,0,0,300
10,0,0,32,,1012,0,0,28,0,0,280
10,0,0,23,,1011,0,0,34,0,0,300
12,0,0,37,,1011,0,0,28,0,0,300
11,0,0,35,,1011,0,0,28,0,0,290
13,0,0,42,,1011,0,0,27,0,0,0
13,0,0,47,,1011,0,0,25,0,0,0
14,0,0,57,,1012,0,0,23,0,0,0
13,0,0,57,,1012,0,0,22,0,0,0
